file_name;time (s);sent (msg/s);received (msg/s);min (us);median (us);75th (us);95th (us);99th (us)
test-000938-881;299,001;3987;51323;215900900;254788913;295866497;297145182;297417223
test-000938-881;300,000;4046;50408;216905736;253493062;296258128;297934997;298316854
test-000938-881;301,001;817;44774;217770488;256520133;297474763;299039867;299318197
test-000938-881;302,001;0;54262;218764872;254708526;298157046;299951436;300299325
test-000938-881;303,001;0;51389;219788345;252447918;271697094;300907131;301347325
test-000938-881;304,000;0;47246;220788562;253557396;273539228;302008045;302307508
test-000938-881;305,001;1262;53814;221775275;255153002;274624861;302914857;303311085
test-000938-881;306,001;0;49023;222763377;258745016;300908459;303856823;304276272
test-000938-881;307,001;0;52066;223751352;257904168;301234042;304843353;305278423
test-000938-881;308,001;1232;54035;224760122;256842564;277040175;305848659;306314566
test-000938-881;309,001;702;52681;225814669;261745792;278201110;306890795;307270844
test-000938-881;310,000;0;55077;226820091;259335384;278783790;307708530;308170023
test-000938-881;311,001;1233;50895;227806787;259726774;278700968;308743893;309275401
test-000938-881;312,001;0;50668;228762277;273910938;281028567;309922182;310224969
test-000938-881;313,001;0;49608;229766262;275661654;308072506;310922815;311278346
test-000938-881;314,001;0;53311;230863490;266760435;282375709;311927763;312301784
test-000938-881;315,001;3255;55188;231818044;268062140;282795802;312839197;313274454
test-000938-881;316,000;5560;52806;232856221;265624122;284351924;313949485;314286144
test-000938-881;317,001;674;55098;233913681;272515644;284809511;314925305;315442678
test-000938-881;318,000;1405;54319;234925432;268386914;313308741;316030638;316365338
test-000938-881;319,001;1691;52718;235858881;269783251;314202987;317072932;317303540
test-000938-881;320,001;0;51034;237006997;281382386;316064230;318108836;318282837
test-000938-881;321,001;3946;51359;237814376;283429191;317826858;319073824;319324964
test-000938-881;322,001;0;47304;239006808;284759047;318960411;320092426;320368863
test-000938-881;323,001;0;52111;239806415;286309522;319710327;321053569;321299376
test-000938-881;324,001;5555;44132;241276501;279797752;320467035;321928302;322295110
test-000938-881;325,001;12005;54978;241940576;280821562;321372179;323062756;323410546
test-000938-881;326,001;5037;55120;242991732;276531878;322620137;324110084;324318823
test-000938-881;327,001;1232;54914;242201321;276088832;295920476;325066506;325299995
test-000938-881;328,001;0;55874;242744206;277248722;296077386;326000937;326321489
test-000938-881;329,001;0;54501;243756007;277964066;296858400;326907716;327312561
test-000938-881;330,001;0;57877;244735947;278758035;297599130;327868954;328264246
test-000938-881;331,001;0;56399;245724864;279732051;297635007;328997694;329281439
test-000938-881;332,000;0;58429;246763540;280636470;287688353;329968764;330263922
test-000938-881;333,001;0;56989;247725087;281761323;300831124;330992772;331291554
test-000938-881;334,001;1263;59096;248743563;282978702;302961625;331848204;332273140
test-000938-881;335,001;646;54296;249807627;283931744;304141291;332773293;333268702
test-000938-881;336,001;0;52159;250796282;284762787;303544969;333693783;334260774
test-000938-881;337,001;860;54357;251796060;285886444;304993968;334696317;335248141
test-000938-881;338,001;1263;57599;253376096;284727848;304653056;335715142;336240092
test-000938-881;339,001;760;57598;254295750;287180023;306367523;336834758;337189253
test-000938-881;340,001;960;58310;254961723;288408537;303986270;337881017;338195962
test-000938-881;341,001;731;55089;255743452;289973445;305049576;338742319;339138237
test-000938-881;342,001;0;53112;257119302;290212748;305452554;339878478;340267489
test-000938-881;343,001;0;58555;257860116;288104418;306202196;340674279;341196107
test-000938-881;344,001;0;57156;258742141;284590508;306608003;341718164;342260781
test-000938-881;345,001;0;51543;260416313;283903279;307683527;342750988;343168167
test-000938-881;346,001;0;57180;260807675;284992311;314232934;343972263;344270751
test-000938-881;347,001;0;59250;261999021;285795910;311118766;344962219;345276068
test-000938-881;348,001;745;59734;262788940;286339014;314567254;345945190;346295262
test-000938-881;349,001;645;57997;263720351;284155024;316150153;347009089;347322575
test-000938-881;350,001;759;57256;265206547;292264998;318111219;348037466;348254347
test-000938-881;351,001;0;54265;265750461;299257423;318314710;349069852;349278364
test-000938-881;352,001;2451;57306;266817044;300206452;308812319;349759018;350173328
test-000938-881;353,001;1348;55469;267747728;301342041;308562905;350754046;351220379
test-000938-881;354,001;0;50120;268717812;302416653;309722041;351886328;352248843
test-000938-881;355,001;616;54819;269844828;303384511;310363361;352859775;353212961
test-000938-881;356,001;0;53584;270781650;304037338;309411231;353714805;354259554
test-000938-881;357,001;8023;57664;271739782;305526189;312797501;354994533;355277858
test-000938-881;358,001;2467;58453;272724293;306801117;313866911;355753518;356221926
test-000938-881;359,001;617;55396;273722294;307676969;314230705;356873636;357185005
test-000938-881;360,001;0;57803;274768622;308686025;315595286;357856719;358193916
test-000938-881;361,001;0;56867;275717358;309906300;316768942;358883492;359229843
test-000938-881;362,001;0;58200;276699728;310562459;329141013;359691847;360265909
test-000938-881;363,000;3,0;55847;277717467;311688327;329956378;360488970;361144876
test-000938-881;364,001;1,0;54081;278745303;309227373;319352192;361358056;361996306
test-000938-881;365,001;2,0;55701;279723712;310297535;328835447;362956024;363223277
